airport_code;region;country;latitude;longitude
SRW;North Carolina;United States;35.6709727;-80.4742261
UBS;Mississippi;United States;33.4956744;-88.4272627
FET;Nebraska;United States;41.4338363;-96.4960449
JRB;New York;United States;40.7127281;-74.0060152
RUI;New Mexico;United States;33.3315804;-105.673099
OSU;Ohio;United States;39.9622601;-83.0007065
OGB;South Carolina;United States;33.4918203;-80.8556476
IN1;Indiana;United States;41.3669902;-85.0588632
SEM;Alabama;United States;32.4078632;-87.0207473
AL3;Alabama;United States;34.729847;-86.5859011
FVS;Idaho;United States;43.8235163;-111.787022
OH2;Ohio;United States;40.3611643;-83.7596557
FWH;Texas;United States;32.7762719;-96.7968559
MVN;Illinois;United States;38.3172715;-88.9031201
ZZV;Ohio;United States;39.9401426;-82.005019
GRF;Washington;United States;47.2455013;-122.438329
EKX;Kentucky;United States;37.693952;-85.8591285
ATO;Ohio;United States;39.355589;-82.0610404
AMK;Colorado;United States;37.2769484;-107.8766
MRC;Tennessee;United States;35.6148165;-87.0338464
RMG;Georgia;United States;34.257038;-85.1646726
FCH;California;United States;36.7394421;-119.78483
KDK;Alaska;United States;57.79;-152.407222
DNV;Illinois;United States;40.125222;-87.6304614
SPA;South Carolina;United States;34.9498007;-81.9320157
KY1;Kentucky;United States;37.6456488;-84.7721823
II2;Illinois;United States;41.8755616;-87.6244212
DQC;Florida;United States;27.816415;-80.4706078
TBR;Georgia;United States;32.4490141;-81.7832912
CRS;Texas;United States;32.091299;-96.4646821
LUL;Mississippi;United States;31.6940509;-89.1306124
RID;Indiana;United States;39.8286897;-84.8898521
EKI;Indiana;United States;41.6012796;-85.8590603
RND;Texas;United States;29.4246002;-98.4951405
EAR;Nebraska;United States;40.4906216;-98.9472344
SHN;Washington;United States;47.2150945;-123.100706
ESF;Louisiana;United States;31.3119463;-92.4453558
SCF;Arizona;United States;33.4484367;-112.074141
LOZ;Kentucky;United States;37.1283343;-84.0835576
JCC;California;United States;37.7792588;-122.4193286
KY3;Kentucky;United States;38.0561079;-83.9431961
S27;Montana;United States;48.202158;-114.315321
GLW;Kentucky;United States;36.995906;-85.9124842
CPS;Missouri;United States;38.6280278;-90.1910154
GVL;Georgia;United States;34.2978794;-83.8240663
AMW;Iowa;United States;42.0267567;-93.6170448
STK;Colorado;United States;40.6255415;-103.207709
BMC;Utah;United States;41.5110434;-112.0154991
MZZ;Indiana;United States;40.5583739;-85.6591442
MIO;Oklahoma;United States;36.8746177;-94.877374
SGH;Ohio;United States;39.9234046;-83.810138
DMO;Missouri;United States;38.7098314;-93.2295515
TN3;Tennessee;United States;35.4492404;-86.7888887
LHV;Pennsylvania;United States;41.1369077;-77.4471641
HSI;Nebraska;United States;40.5861322;-98.3898883
UCY;Tennessee;United States;36.4242303;-89.0570096
CVS;New Mexico;United States;34.405472;-103.2050709
MUT;Iowa;United States;41.4776121;-91.1210053
MOP;Michigan;United States;43.597646;-84.7668495
MEJ;Pennsylvania;United States;41.641445;-80.151449
VWL;Minnesota;United States;47.4785418;-94.8907869
END;Oklahoma;United States;36.3967623;-97.8791341
UXJ;Kentucky;United States;37.7478572;-84.2946539
TKF;California;United States;39.327962;-120.1832533
NZC;Florida;United States;30.3321838;-81.655651
XWL;Idaho;United States;43.190039;-112.348357
NIP;Florida;United States;30.3321838;-81.655651
SRC;Arkansas;United States;35.9018987;-92.7098744
ILE;Texas;United States;31.1171441;-97.727796
LSD;Kentucky;United States;38.0464066;-84.4970393
OLU;Nebraska;United States;41.4292988;-97.3581439
BOK;Oregon;United States;42.0521298;-124.2832868
DNN;Georgia;United States;34.7691867;-84.9702475
BKX;South Dakota;United States;44.311461;-96.79844
HBG;Mississippi;United States;31.3271189;-89.2903392
HIK;Hawaii;United States;21.304547;-157.855676
DNE;Texas;United States;32.7762719;-96.7968559
SIK;Missouri;United States;36.876719;-89.5878579
BVX;Arkansas;United States;35.7708144;-91.6531128
1B1;New York;United States;42.2528649;-73.790959
SBM;Wisconsin;United States;43.7128967;-87.9370433
PSF;Massachusetts;United States;42.4484778;-73.2541069
LWF;Tennessee;United States;35.2423023;-87.3347389
TDW;Texas;United States;35.20729;-101.8371192
SER;Indiana;United States;38.9592201;-85.8902547
